message_id,conversation_id,user_id,person_empathy,person_distress,age,gender,education,iri_perspective_taking,iri_personal_distress,iri_fantasy,iri_empathatic_concern,personality_openess,personality_conscientiousness,personality_extraversion,personality_agreeableness,personality_stability
p019_1,1,p019,3.857142857142857,3.2857142857142856,21,2,2,2.7142857142857144,3.0,3.142857142857143,3.2857142857142856,3.0,5.0,5.0,4.0,3.5
p035_2,2,p035,6.714285714285714,6.714285714285714,37,1,6,4.857142857142857,2.0,3.4285714285714284,5.0,5.5,7.0,1.0,6.5,6.0
p024_3,3,p024,5.857142857142857,6.0,32,1,6,3.4285714285714284,2.857142857142857,2.857142857142857,2.7142857142857144,5.0,5.5,2.0,5.5,4.5
p041_4,4,p041,2.7142857142857144,1.0,33,1,6,3.7142857142857135,1.0,2.4285714285714284,1.4285714285714286,7.0,6.5,3.5,4.5,7.0
p022_5,5,p022,1.0,1.4285714285714286,29,1,6,4.642857142857142,2.071428571428571,4.142857142857142,4.642857142857142,6.75,6.75,6.75,6.75,7.0
p020_6,6,p020,6.0,6.857142857142857,28,2,5,5.0,4.142857142857143,4.857142857142857,5.0,6.0,6.0,5.0,4.5,3.5
p019_7,7,p019,3.7142857142857135,4.428571428571429,21,2,2,2.7142857142857144,3.0,3.142857142857143,3.2857142857142856,3.0,5.0,5.0,4.0,3.5
p035_8,8,p035,6.0,1.0,37,1,6,4.857142857142857,2.0,3.4285714285714284,5.0,5.5,7.0,1.0,6.5,6.0
p048_9,9,p048,3.0,2.4285714285714284,25,2,4,3.571428571428572,2.857142857142857,3.571428571428572,3.142857142857143,5.5,5.5,3.5,4.5,4.0
p063_10,10,p063,1.5714285714285714,1.1428571428571428,31,1,5,3.571428571428572,2.2857142857142856,1.8571428571428568,2.0,2.5,3.5,2.0,4.5,5.0
p022_11,11,p022,1.4285714285714286,1.0,29,1,6,4.642857142857142,2.071428571428571,4.142857142857142,4.642857142857142,6.75,6.75,6.75,6.75,7.0
p019_12,12,p019,3.4285714285714284,3.4285714285714284,21,2,2,2.7142857142857144,3.0,3.142857142857143,3.2857142857142856,3.0,5.0,5.0,4.0,3.5
p029_13,13,p029,1.8571428571428568,1.0,38,2,7,3.4285714285714284,2.7142857142857144,2.571428571428572,3.857142857142857,3.5,7.0,6.5,5.5,6.5
p054_14,14,p054,5.571428571428571,3.0,33,2,6,4.285714285714286,1.2857142857142858,3.857142857142857,4.0,4.5,7.0,1.5,7.0,7.0
p022_15,15,p022,2.0,1.0,29,1,6,4.642857142857142,2.071428571428571,4.142857142857142,4.642857142857142,6.75,6.75,6.75,6.75,7.0
